# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.pre.handlers.ms,1765698766556000000,1765698794644000000,0
workspaceModel.check.recursive.update.ms,1765698766556000000,1765698794644000000,0
workspaceModel.update.unloaded.entities.ms,1765698766556000000,1765698794644000000,0
workspaceModel.updates.precise.ms,1765698766556000000,1765698794644000000,0
workspaceModel.loading.from.cache.ms,1765698766556000000,1765698794644000000,27
workspaceModel.to.snapshot.ms,1765698766556000000,1765698794644000000,0
workspaceModel.initializing.ms,1765698766556000000,1765698794644000000,0
workspaceModel.updates.count,1765698766556000000,1765698794644000000,0
workspaceModel.replace.project.model.ms,1765698766556000000,1765698794644000000,0
workspaceModel.collect.changes.ms,1765698766556000000,1765698794644000000,0
workspaceModel.init.bridges.ms,1765698766556000000,1765698794644000000,0
workspaceModel.updates.ms,1765698766556000000,1765698794644000000,0
workspaceModel.loading.total.ms,1765698766556000000,1765698794644000000,43
workspaceModel.moduleManagerBridge.get.modules.ms,1765698766556000000,1765698794644000000,2
workspaceModel.mutableEntityStorage.modify.entity.ms,1765698766556000000,1765698794644000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765698766556000000,1765698794644000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1765698766556000000,1765698794644000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1765698766556000000,1765698794644000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765698766556000000,1765698794644000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1765698766556000000,1765698794644000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765698766556000000,1765698794644000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1765698766556000000,1765698794644000000,0
workspaceModel.load.cache.metadata.from.file.ms,1765698766556000000,1765698794644000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1765698766556000000,1765698794644000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765698766556000000,1765698794644000000,0
workspaceModel.save.cache.to.file.ms,1765698766556000000,1765698794644000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765698766556000000,1765698794644000000,0
workspaceModel.load.cache.from.file.ms,1765698766556000000,1765698794644000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765698766556000000,1765698794644000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1765698766556000000,1765698794644000000,0
workspaceModel.mutableEntityStorage.entities.ms,1765698766556000000,1765698794644000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765698766556000000,1765698794644000000,0
